"purchase_date","product_category","sales"
2017-02-01,"luggage_accessories",176.76
2017-02-01,"market_place",119.09
2017-02-01,"office_furniture",687.86
2017-02-01,"perfumery",209.49
2017-02-01,"pet_shop",192.92
2017-02-01,"small_appliances",177.54
2017-02-01,"sports_leisure",635.92
2017-02-01,"telephony",81.46
2017-02-01,"toys",291.51
2017-02-01,"watches_gifts",326.39
2017-02-02,"audio",44.01
2017-02-02,"auto",76.02
2017-02-02,"bed_bath_table",124.53
2017-02-02,"computers_accessories",269.86
2017-02-02,"consoles_games",1291.27
2017-02-02,"construction_tools_construction",171.03
2017-02-02,"cool_stuff",1364.93
2017-02-02,"fashion_male_clothing",56.18
2017-02-02,"furniture_decor",811.64
2017-02-02,"furniture_living_room",611.28
2017-02-02,"garden_tools",315.48
2017-02-02,"health_beauty",1385.11
2017-02-02,"luggage_accessories",141.75
2017-02-02,"office_furniture",140.11
2017-02-02,"perfumery",219.91
2017-02-02,"small_appliances",318.14
2017-02-02,"sports_leisure",789.84
2017-02-02,"stationery",445.72
2017-02-02,"tablets_printing_image",234
2017-02-02,"telephony",456.26
2017-02-02,"toys",267.09
2017-02-02,"watches_gifts",848.77
2017-02-03,"auto",408.99
2017-02-03,"bed_bath_table",207.92
2017-02-03,"computers_accessories",55.87
2017-02-03,"consoles_games",416.49
2017-02-03,"cool_stuff",209.49
2017-02-03,"fashion_bags_accessories",492.47
2017-02-03,"furniture_decor",1578.43
2017-02-03,"health_beauty",1597.84
2017-02-03,"home_appliances",30.11
2017-02-03,"luggage_accessories",124.84
2017-02-03,"musical_instruments",1317.36
2017-02-03,"office_furniture",873.32
2017-02-03,"perfumery",474.39
2017-02-03,"sports_leisure",677.25
2017-02-03,"stationery",112.99
2017-02-03,"telephony",1011.93
2017-02-03,"toys",1632.65
2017-02-03,"watches_gifts",349.66
2017-02-04,"auto",372.69
2017-02-04,"baby",94.63
2017-02-04,"bed_bath_table",357.21
2017-02-04,"computers_accessories",164.36
2017-02-04,"consoles_games",264.86
2017-02-04,"cool_stuff",398.9
2017-02-04,"fashion_bags_accessories",246.13
2017-02-04,"fashion_underwear_beach",79.02
2017-02-04,"furniture_decor",954.36
2017-02-04,"furniture_living_room",1047.32
2017-02-04,"garden_tools",505.15
2017-02-04,"health_beauty",3581.32
2017-02-04,"home_comfort",124.35
2017-02-04,"housewares",120.02
2017-02-04,"luggage_accessories",70.98
2017-02-04,"office_furniture",150.2
2017-02-04,"perfumery",522.66
2017-02-04,"pet_shop",399.04
2017-02-04,"small_appliances",207.51
2017-02-04,"sports_leisure",648.87
2017-02-04,"stationery",177.44
2017-02-04,"telephony",234.24
2017-02-04,"toys",255.25
2017-02-04,"watches_gifts",251.28
2017-02-05,"agro_industry_and_commerce",36.51
2017-02-05,"auto",358.44
2017-02-05,"baby",157.94
2017-02-05,"bed_bath_table",1360.23
2017-02-05,"cool_stuff",136.04
2017-02-05,"fashion_bags_accessories",214.87
2017-02-05,"fashion_male_clothing",118.03
2017-02-05,"fashion_underwear_beach",59.73
2017-02-05,"fixed_telephony",62.13
2017-02-05,"furniture_decor",1807.78
2017-02-05,"garden_tools",321.46
2017-02-05,"health_beauty",1853.26
2017-02-05,"luggage_accessories",202.46
2017-02-05,"musical_instruments",305.08
2017-02-05,"office_furniture",2058.02
2017-02-05,"perfumery",74.49
2017-02-05,"pet_shop",226.77
2017-02-05,"sports_leisure",1258.21
2017-02-05,"stationery",193.02
2017-02-05,"telephony",397.19
2017-02-05,"watches_gifts",35.86
2017-02-06,"auto",644.83
2017-02-06,"bed_bath_table",1199.12
2017-02-06,"computers_accessories",106.14
2017-02-06,"consoles_games",416.96
2017-02-06,"cool_stuff",1591.48
2017-02-06,"dvds_blu_ray",36.94
2017-02-06,"fashion_bags_accessories",133.44
2017-02-06,"fixed_telephony",44.42
2017-02-06,"furniture_decor",994.03
2017-02-06,"garden_tools",59.35
2017-02-06,"health_beauty",1509.83
2017-02-06,"housewares",454.33
2017-02-06,"market_place",40.51
2017-02-06,"perfumery",638.85
2017-02-06,"pet_shop",133.05
2017-02-06,"small_appliances",149.2
2017-02-06,"sports_leisure",1031.12
2017-02-06,"telephony",773.12
